node,neighbors
25495338,"25495335,25495347,25495336"
25495339,"25495334,25495340"
25495340,"21674806,21674805,1655658195"
25495344,"2813935188,25495346"
25495345,2813935188
25495346,"25495347,2813935188"
25495347,"25495346,25495345,25495338"
25498533,"4575488373,6990640984"
25498538,"25316193,2606641710"
25498539,"25498538,25316195"
25498540,"25316178,25498539"
25498566,"25316172,25498540"
25498567,"21674807,25498566"
25498568,"25316177,25498567"
25498569,"25498568,25316175"
25498570,"25498569,25310830"
25498571,"25498570,4576330333"
25498572,"25495344,13180101537"
25499133,25499140
25499134,25153108
25499136,"412284481,25495293"
25499140,3208799313
25499149,"25499133,3846297541"
25499150,"412291343,25499149"
25499151,"26058994,25499152"
25499152,"26058995,480971528,25499153"
25499153,"25499154,25499156"
25499154,"25499151,25499149"
25499155,"25499154,25499156,25499133"
25499156,"26059099,8764154567"
25499159,"25499155,25499140"
25499161,"480971528,8764193131"
25499208,"15925452,25499210"
25499210,25499215
25499212,25499215
25499215,"25499220,25499216"
25499216,"25499217,581678"
25499217,"25499150,25153100"
25499218,"25499210,15925452"
25499219,"26058937,25499218"
25499220,"25499218,26058935"
25525377,25525378
25525378,"4922541424,25525377,8168938342"
25547435,"1837331253,8218182128"
25547436,"10705432732,59654818"
25547440,"25470916,8887828403,25471072"
25547441,"59640015,59640254,59654823"
25549075,"600873562,27359745,25470917"
25549076,"10160330139,4675415578"
25549077,"21604585,59640013,27359745"
25610709,"1367325366,8137491713"
25610743,"25611153,8794895035,259977334"
25610774,"624172842,26470113,25611003"
25611003,"26464257,25610774,25611043"
25611037,8137491713
25611040,25611037
25611043,"25611040,8794895035"
25611153,"26470085,25610743,25611154"
25611154,"25611156,26470087,25611153"
25611156,"25611154,25611158"
25611158,"1370403183,25611156,26470491"
25611272,25611274
25611274,"26149140,25611365"
25611365,25611366
25611366,
25611375,25611376
25611376,25611377
25611377,"26286759,251050296"
25611395,"26286760,249740340"
25611400,"26317396,25611401"
25611401,25611404
25611404,"1682387628,26317345"
25611408,25611409
25611409,"55463824,26317318"
25611411,"26317310,25611424"
25611424,"4690060601,25611425"
25611425,13045357050
25611428,"26317254,1368674799,26317242"
25611760,"26317214,13046082674"
25614299,26057008
25614440,
25615380,"25319204,26064162,26064143"
25618197,"26022624,25618206"
25618206,"25310868,26035007"
25618214,25618439
25618216,25618214
25618436,"25618216,1384310580"
25618439,"26035256,26291349,8399389567"
25620304,"25316259,1042749384"
25620306,25620304
25620809,26584165
25622515,25622530
25622530,"25622551,1468760675"
25622551,"25622530,26131895"
25622570,25622573
25622571,"25622570,25622551,569050829"
25622573,"25622574,11422035858"
25622574,"25622573,25622571,569050672"
25622724,"25622725,4617186035"
25622725,"25622724,25622726,29083977"
25622726,11422035859
25622731,"4617186038,13289372527"
25624056,"25624140,25624141,25624058,25624060"
25624058,"26132247,25624056,25624059,25624139"
25624059,"48880067,25624160,25624058"
25624060,"25624059,25624143,25624056"
25624139,"26132246,25624140,25624058,8897755315"
25624140,"25624056,8149345756"
25624141,"25624142,27362922,25624056"
25624142,"25624141,25624060,25624144,1255306647"
25624143,"891129815,25624060,25624144"
25624144,"891129818,25624142,3626479005"
25624145,"26132247,25624146"
25624146,"26132246,26132243,25471717"
25624152,"48880093,8168902706"
25624160,"891129825,25624059,25624143"
25624666,"932576999,27362894,1028380059"
25624670,932576999
25631417,8149395025
25632290,"26014245,27504185,1764264890"
